id_distribuidor,monto_autorizado,tasa_minima,grupo_riesgo,riesgo
116,10000,110,Canasta 3,3
2174,10000,132,Canasta 8,8
2564,10000,110,Canasta 4,4
3481,10000,110,Canasta 3,3
5812,10000,147,Canasta 9,9
8082,10000,110,Canasta 5,5
11429,10000,115,Canasta 6,6
12168,10000,110,Canasta 5,5
12897,10000,127,Canasta 7,7
13084,10000,110,Canasta 5,5
13671,10000,147,Canasta 9,9
18377,10000,110,Canasta 3,3
18392,10000,110,Canasta 5,5
19005,10000,127,Canasta 7,7
21204,10000,100,Canasta 2,2
21372,10000,115,Canasta 6,6
24321,10000,147,Canasta 9,9
25860,10000,127,Canasta 7,7
29193,10000,115,Canasta 6,6
30153,10000,110,Canasta 5,5
33382,10000,110,Canasta 5,5
35175,10000,110,Canasta 5,5
41954,10000,115,Canasta 6,6
42476,10000,110,Canasta 5,5
43288,0,0,Canasta 10,10
45740,10000,110,Canasta 5,5
49352,10000,110,Canasta 4,4
53826,10000,132,Canasta 8,8
59982,0,0,Canasta 10,10
60157,10000,110,Canasta 3,3
60176,10000,110,Canasta 4,4
63842,10000,132,Canasta 8,8
64153,0,0,Canasta 10,10
65981,10000,132,Canasta 8,8
66881,0,0,Canasta 10,10
70598,10000,110,Canasta 5,5
71670,10000,110,Canasta 4,4
72316,10000,110,Canasta 3,3
72585,10000,110,Canasta 5,5
74111,10000,100,Canasta 2,2
74349,10000,127,Canasta 7,7
74420,10000,110,Canasta 4,4
75456,10000,127,Canasta 7,7
75457,0,0,Canasta 10,10
75542,10000,147,Canasta 9,9
75965,10000,132,Canasta 8,8
76387,10000,110,Canasta 4,4
76453,10000,100,Canasta 2,2
76890,10000,127,Canasta 7,7
78042,0,0,Canasta 10,10
80127,10000,110,Canasta 4,4
81301,10000,115,Canasta 6,6
83378,10000,147,Canasta 9,9
84722,10000,110,Canasta 5,5
84726,10000,132,Canasta 8,8
84734,10000,127,Canasta 7,7
84738,10000,127,Canasta 7,7
84751,10000,127,Canasta 7,7
84762,10000,132,Canasta 8,8
84967,10000,115,Canasta 6,6
85121,10000,127,Canasta 7,7
85126,10000,115,Canasta 6,6
85147,10000,127,Canasta 7,7
85209,10000,127,Canasta 7,7
85363,10000,110,Canasta 5,5
86322,10000,115,Canasta 6,6
86345,10000,115,Canasta 6,6
86466,10000,127,Canasta 7,7
86577,10000,110,Canasta 4,4
86586,10000,100,Canasta 2,2
86588,10000,100,Canasta 2,2
86591,10000,100,Canasta 2,2
86604,10000,100,Canasta 2,2
