id_distribuidor,id_red,id_operacion,perdida_cosecha,dependientes,tiempo_vivienda,ingreso_neto,tipo_negocio,tiempo_op_negocio,edad,folio,creditos_con_claves_prevencion,creditos_completados_con_atraso,saldo_vencido_total,pagos_vencidos,creditos_totales,estado_distrito_federal,estado_jalisco,estado_mexico,estado_tabasco,estado_veracruz_de_ignacio_de_la_llave,sucursal_cardenas,sucursal_chalco,sucursal_chimalhuacan_2,sucursal_coatzacoalcos,sucursal_fortin,sucursal_ixtapaluca,sucursal_ixtapaluca_2,sucursal_nezahualcoyotl_2,sucursal_orizaba,sucursal_texcoco,sucursal_tonala,sucursal_tonala_2,sucursal_villahermosa,escolaridad_bachillerato,escolaridad_licenciatura,escolaridad_otro,escolaridad_primaria,escolaridad_secundaria,escolaridad_sin_estudios,escolaridad_tecnico,estado_civil_casada,estado_civil_divorciada,estado_civil_separada,estado_civil_soltera,estado_civil_union_libre,estado_civil_viuda,tipo_vivienda_familiar,tipo_vivienda_otro,tipo_vivienda_propia,tipo_vivienda_rentada,sexo_femenino,sexo_masculino,experiencia_no,experiencia_si,tipo_prestamo,target,probabilidad,target_predicted,grupo_riesgo,capital_pagado,capital_pendiente,capital,perdida_cosecha_estimada
100002,100399,100400,0.0,2.9224406680224333,-0.8403275796321448,0.0017890670661594,-0.8403275796321448,0.3319772070881238,-0.331258146041045,1063536978,0.2456140350877192,0.1052631578947368,-0.1165074439230941,-0.3942022492057409,0.2716822240106968,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.6386643243957253,0.0,8,83000.01,0.0,83000.01,0.08468265166093092
100002,130927,130928,0.0,2.9224406680224333,-0.8403275796321448,0.0017890670661594,-0.8403275796321448,0.3319772070881238,-0.331258146041045,1063536978,0.2456140350877192,0.1052631578947368,-0.1165074439230941,-0.3942022492057409,0.2716822240106968,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.6386643243957253,0.0,8,195000.06,0.0,195000.06,0.08468265166093092
100002,139856,139857,0.132363070135227,2.9224406680224333,-0.8403275796321448,0.0017890670661594,-0.8403275796321448,0.3319772070881238,-0.331258146041045,1063536978,0.2456140350877192,0.1052631578947368,-0.1165074439230941,-0.3942022492057409,0.2716822240106968,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,0,0.6386643243957253,0.0,8,169189.21,25810.8,195000.01,0.08468265166093092
100011,101435,101439,0.411307394969122,-0.7812465152139179,2.668749735777608,-0.0660997861273259,2.668749735777608,0.3319772070881238,-1.5127580445447952,1063538099,0.7333333333333333,0.2,1.3333850468096788,-0.4165811098709066,-0.6043963789128962,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,0,0.852996824797365,0.0,9,33575.6,23458.58,57034.18,0.11672151515956353
100016,101435,101441,0.411307394969122,1.9965188722133456,2.668749735777608,-0.0029610626003312,2.668749735777608,-0.1172299179326033,-1.0401580851432952,1063538095,0.5,0.2222222222222222,1.996203721491035,-0.1704136425540843,-0.5418193358469253,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,0,0.8331499643797435,0.0,9,33575.6,23458.58,57034.18,0.11672151515956353
100025,100489,100499,0.0,0.1446752805951699,-0.3390308202878944,-0.0451422140387689,-0.3390308202878944,-1.0156441679740578,-0.331258146041045,1063536998,0.5294117647058824,0.0588235294117647,-0.5947568449984999,-0.8529688928416368,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.46170359021736584,1.0,4,198000.02,0.0,198000.02,0.02889684065271636
100025,110496,110505,0.0,0.1446752805951699,-0.3390308202878944,-0.0451422140387689,-0.3390308202878944,-1.0156441679740578,-0.331258146041045,1063536998,0.5294117647058824,0.0588235294117647,-0.5947568449984999,-0.8529688928416368,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.46170359021736584,1.0,4,177000.02,0.0,177000.02,0.02889684065271636
100025,120787,120796,0.0,0.1446752805951699,-0.3390308202878944,-0.0451422140387689,-0.3390308202878944,-1.0156441679740578,-0.331258146041045,1063536998,0.5294117647058824,0.0588235294117647,-0.5947568449984999,-0.8529688928416368,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.46170359021736584,1.0,4,198000.01,0.0,198000.01,0.02889684065271636
100025,133191,133200,0.0,0.1446752805951699,-0.3390308202878944,-0.0451422140387689,-0.3390308202878944,-1.0156441679740578,-0.331258146041045,1063536998,0.5294117647058824,0.0588235294117647,-0.5947568449984999,-0.8529688928416368,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.46170359021736584,1.0,4,150000.02,0.0,150000.02,0.02889684065271636
100025,142629,142636,0.0,0.1446752805951699,-0.3390308202878944,-0.0451422140387689,-0.3390308202878944,-1.0156441679740578,-0.331258146041045,1063536998,0.5294117647058824,0.0588235294117647,-0.5947568449984999,-0.8529688928416368,-0.5626783502022489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.46170359021736584,1.0,4,140000.02,0.0,140000.02,0.02889684065271636
