id_distribuidor,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
100002,1063536978,36135.0,58.0,57,14,6,51
100011,1063538099,140873.0,56.0,15,11,3,12
100016,1063538095,188754.0,78.0,18,9,4,14
100025,1063536998,1587.0,17.0,17,9,1,16
100030,1063537106,12323.0,44.0,62,30,2,60
100037,1063537665,25718.0,86.0,17,5,2,15
100040,1063537661,277182.0,154.0,82,62,7,75
100041,1063537642,187441.0,74.0,35,22,3,32
100042,1063537656,28304.0,63.0,12,7,4,8
100043,1063538092,41251.0,92.0,20,10,3,17
100055,1063537047,117498.0,261.0,46,28,16,30
100064,1063538089,129513.0,280.0,106,29,13,93
100078,1063537068,0.0,0.0,11,6,0,11
100080,1063537096,42009.0,205.0,57,35,3,54
100082,1063537845,0.0,10.0,9,0,0,9
100085,1063537839,33690.0,180.0,33,7,9,24
100087,1063537408,123186.0,213.0,111,36,8,103
100088,1063537834,82171.0,205.0,15,6,9,6
100089,1063537402,17560.0,49.0,52,33,4,48
100090,1063537400,12443.0,43.0,20,11,5,15
100094,1063537396,131306.0,122.0,83,45,7,76
100096,1063537831,0.0,9.0,28,22,0,28
100108,1063537770,16572.0,257.0,28,5,5,23
100111,1063537423,93599.0,224.0,54,40,9,45
100124,1063537389,136089.0,181.0,58,31,8,50
100128,1063537501,0.0,0.0,1,0,0,1
100151,1063537766,47718.0,109.0,54,4,15,39
100153,1063537763,32138.0,115.0,49,4,6,43
100191,1063538507,0.0,25.0,132,14,0,132
100228,1063538086,95131.0,33.0,26,12,4,22
100244,1063538084,149692.0,39.0,47,22,3,44
100246,1063537757,30102.0,304.0,32,3,10,22
100270,1063537066,31177.0,51.0,29,16,2,27
100273,1063538029,321332.0,489.0,95,67,12,83
100274,1063536903,35653.0,5.0,15,7,1,14
100276,1063538024,38669.0,32.0,15,10,4,11
100278,1063536898,57226.0,162.0,51,31,7,44
100279,1063538017,15444.0,54.0,32,25,5,27
100280,1063536896,50766.0,43.0,46,33,4,42
100282,1063538013,44365.0,188.0,63,41,8,55
100287,1063536894,49196.0,168.0,50,34,4,46
100289,1063536885,15124.0,44.0,27,19,2,25
100290,1063536883,35653.0,5.0,18,11,1,17
100292,1063536880,0.0,3.0,24,21,0,24
100297,1063537226,46231.0,97.0,42,23,6,36
100301,1063537217,62100.0,42.0,64,30,6,58
100308,1063537211,53616.0,89.0,60,25,8,52
100309,1063537385,23591.0,21.0,10,8,3,7
100330,1063538721,32067.0,73.0,34,12,4,30
100337,1063538717,0.0,4.0,13,9,0,13
100339,1063537544,38345.0,39.0,20,11,4,16
100342,1063538715,0.0,9.0,7,1,0,7
100423,1063537998,121327.0,127.0,64,42,5,59
100436,1063537992,90134.0,19.0,28,16,2,26
100437,1063540326,39050.0,364.0,52,21,5,47
100440,1063538387,29811.0,23.0,27,19,2,25
100444,1063537851,0.0,0.0,2,1,0,2
100445,1063537990,111830.0,101.0,123,69,7,116
100464,1063537981,114010.0,143.0,77,45,5,72
100471,1063537184,22157.0,45.0,32,15,4,28
100474,1063537380,15625.0,70.0,86,36,3,83
100481,1063538706,112504.0,138.0,72,57,5,67
100482,1063538714,0.0,2.0,1,0,0,1
100483,1063538702,87814.0,69.0,58,36,5,53
100485,1063537368,22578.0,89.0,9,5,3,6
100487,1063538692,150.0,65.0,26,15,2,24
100488,1063540031,8598.0,55.0,76,60,3,73
100510,1063537742,96415.0,137.0,67,44,6,61
100511,1063538686,178098.0,246.0,57,49,8,49
100513,1063538683,10314.0,31.0,23,18,2,21
100514,1063538675,115100.0,136.0,98,39,4,94
100520,1063538671,45044.0,233.0,73,45,6,67
100534,1063537736,19433.0,70.0,21,11,4,17
100541,1063537739,46910.0,154.0,152,11,11,141
100542,1063540026,28064.0,51.0,61,46,3,58
100543,1063537969,100143.0,34.0,17,12,3,14
100545,1063537691,18976.0,32.0,41,26,6,35
100546,1063537357,106008.0,188.0,65,27,8,57
100556,1063537538,34476.0,11.0,22,16,1,21
100558,1063538010,689.0,11.0,29,21,1,28
100560,1063537710,521.0,73.0,21,3,1,20
100561,1063537910,27705.0,75.0,11,7,6,5
100562,1063537904,51986.0,64.0,34,16,4,30
100565,1063537696,15123.0,199.0,19,10,3,16
100566,1063537898,23897.0,22.0,10,6,3,7
100572,1063537531,24608.0,77.0,6,2,4,2
100574,1063547766,3224.0,57.0,18,11,4,14
100575,1063537524,19520.0,24.0,8,3,5,3
100576,1063537894,23328.0,198.0,86,57,8,78
100578,1063537566,12704.0,3.0,21,11,1,20
100602,1063537174,96372.0,78.0,22,13,7,15
100609,1063538151,25840.0,110.0,21,12,5,16
100617,1063537498,38449.0,81.0,10,1,8,2
100622,1063538979,57627.0,27.0,7,3,3,4
100638,1063538977,70293.0,50.0,23,14,4,19
100641,1063537454,48619.0,22.0,26,10,3,23
100643,1063538975,167482.0,293.0,61,19,8,53
100645,1063538969,98869.0,49.0,22,14,5,17
100651,1063537604,17977.0,73.0,17,12,4,13
100667,1063537964,7964.0,90.0,20,15,5,15
100668,1063537706,14562.0,42.0,18,5,3,15
100671,1063537734,5203.0,12.0,8,2,2,6
100682,1063538132,34646.0,126.0,14,8,3,11
100694,1063538068,2127.0,33.0,9,3,1,8
100697,1063538072,38625.0,2.0,7,0,1,6
100719,1063542807,22097.0,198.0,99,35,16,83
100725,1063538126,34900.0,29.0,40,26,1,39
100755,1063538155,7263.0,72.0,11,8,1,10
100760,1063538261,30911.0,92.0,52,19,6,46
100767,1063537735,51745.0,142.0,17,10,8,9
100815,1063538656,23735.0,52.0,5,3,4,1
100817,1063538144,0.0,4.0,12,8,0,12
100838,1063538254,15835.0,82.0,18,7,3,15
100858,1063538002,20314.0,141.0,65,38,10,55
100884,1063537915,0.0,0.0,8,6,0,8
100897,1063538063,7916.0,236.0,56,32,3,53
100916,1063538120,38023.0,71.0,37,16,2,35
100921,1063538383,8449.0,11.0,44,27,1,43
100927,1063538057,12360.0,52.0,6,3,3,3
100934,1063537848,57666.0,117.0,12,5,6,6
100982,1063538308,0.0,5.0,58,22,0,58
100984,1063538306,2647.0,4.0,28,5,1,27
100985,1063538293,19161.0,97.0,82,44,2,80
100987,1063537952,15051.0,31.0,47,17,2,45
100988,1063538304,12410.0,21.0,27,19,2,25
100990,1063538289,0.0,10.0,20,11,0,20
100992,1063538102,2275.0,8.0,70,26,1,69
101003,1063538370,37938.0,127.0,44,21,4,40
101006,1063537945,0.0,6.0,16,1,0,16
101007,1063537944,1485.0,7.0,7,0,2,5
101012,1063537938,0.0,4.0,4,0,0,4
101014,1063537935,24868.0,148.0,57,21,4,53
101037,1063538053,40850.0,103.0,63,50,4,59
101041,1063538044,10059.0,23.0,4,1,2,2
101045,1063537932,58786.0,117.0,44,14,6,38
101050,1063538365,48277.0,159.0,92,73,9,83
101062,1063537930,0.0,0.0,1,0,0,1
101063,1063538341,40866.0,129.0,96,77,9,87
101065,1063538333,39144.0,107.0,68,58,6,62
101066,1063539024,6805.0,15.0,84,36,1,83
101070,1063539013,194080.0,73.0,46,23,8,38
101071,1063539007,7597.0,30.0,38,27,2,36
101080,1063538035,0.0,99.0,9,3,0,9
101083,1063538894,68704.0,97.0,45,35,6,39
101084,1063538881,16423.0,31.0,19,11,2,17
101088,1063538234,0.0,7.0,7,4,0,7
101090,1063538227,5159.0,257.0,22,5,7,15
101091,1063538653,54900.0,137.0,61,45,8,53
101092,1063538860,38222.0,113.0,7,2,2,5
101094,1063538854,73145.0,294.0,258,27,7,251
101096,1063538845,18504.0,126.0,62,9,18,44
101133,1063539094,62597.0,137.0,73,47,3,70
101142,1063539096,37481.0,155.0,24,15,5,19
101143,1063538117,0.0,0.0,3,2,0,3
101149,1063538272,38822.0,85.0,66,45,5,61
101151,1063538285,97205.0,135.0,154,112,3,151
101164,1063538179,6515.0,25.0,4,1,2,2
101181,1063538178,4382.0,38.0,8,4,2,6
101182,1063538176,34476.0,46.0,29,3,3,26
101204,1063539664,95448.0,103.0,131,77,7,124
101208,1063538484,67250.0,106.0,52,32,7,45
101209,1063538327,25216.0,87.0,80,60,6,74
101211,1063538480,61510.0,159.0,30,18,9,21
101212,1063538476,62019.0,250.0,34,20,5,29
101214,1063538960,82075.0,18.0,29,9,2,27
101215,1063538463,77593.0,58.0,26,9,3,23
101216,1063539269,36883.0,63.0,52,40,5,47
101219,1063538461,33575.0,123.0,37,22,4,33
101220,1063538948,56693.0,50.0,17,13,4,13
101228,1063539267,15954.0,23.0,7,3,2,5
101250,1063538843,56244.0,62.0,21,11,2,19
101265,1063538577,6534.0,52.0,21,15,4,17
101269,1063538322,11090.0,43.0,14,5,3,11
101270,1063539263,388.0,10.0,2,1,1,1
101273,1063538309,13690.0,23.0,35,26,2,33
101286,1063538572,43914.0,231.0,40,17,4,36
101289,1063538567,36055.0,338.0,43,27,6,37
101291,1063538566,25874.0,154.0,22,10,3,19
101292,1063538664,40699.0,102.0,60,42,3,57
101293,1063538560,28957.0,91.0,16,5,5,11
101294,1063538558,0.0,0.0,4,2,0,4
101298,1063538273,112217.0,178.0,57,33,7,50
101301,1063538280,23311.0,75.0,27,23,1,26
101304,1063538448,88815.0,188.0,51,33,5,46
101307,1063539710,4694.0,70.0,32,26,2,30
101308,1063538799,58807.0,93.0,57,29,4,53
101314,1063538792,44650.0,134.0,91,11,9,82
101315,1063538753,81517.0,57.0,28,21,5,23
101320,1063538790,6150.0,66.0,27,8,1,26
101329,1063538114,6984.0,45.0,18,12,3,15
101336,1063538999,18078.0,30.0,6,3,4,2
101349,1063547770,37333.0,44.0,27,17,3,24
101350,1063538788,508257.0,424.0,69,32,13,56
101355,1063538836,52415.0,111.0,35,21,5,30
101357,1063538833,26011.0,30.0,8,3,1,7
101358,1063538822,57289.0,72.0,30,16,5,25
101360,1063538818,26011.0,19.0,11,3,1,10
101373,1063538104,49084.0,192.0,42,25,5,37
101374,1063538749,28532.0,28.0,6,2,3,3
101376,1063539654,87155.0,96.0,35,22,4,31
101379,1063538785,14809.0,50.0,79,13,11,68
101389,1063538748,7080.0,70.0,20,18,2,18
101401,1063538782,6150.0,11.0,27,11,1,26
101432,1063538213,70933.0,92.0,49,15,4,45
101442,1063538740,0.0,0.0,5,2,0,5
101445,1063538220,528.0,71.0,13,1,2,11
101446,1063538442,11551.0,16.0,35,22,2,33
101448,1063538435,1750.0,226.0,67,33,1,66
101449,1063538427,240.0,11.0,29,21,1,28
