id_distribuidor,fecha_nacimiento,estado,sucursal,escolaridad,estado_civil,dependientes,tipo_vivienda,sexo,tiempo_vivienda,ingreso_neto,experiencia,tipo_negocio,tiempo_op_negocio,capacidad_pago_semanal
116,1969-06-12,México,CHIMALHUACAN 2,Bachillerato,Divorciada (o),0,Propia,FEMENINO,40 AÑOS 1 MESES ,$0.00,NO,ABARROTES/MISCELANEAS/PERECEDEROS,10 AÑOS 12 MESES ,
455,1975-06-01,México,CHIMALHUACAN 2,Secundaria,Casada (o),1,Propia,FEMENINO,17 AÑOS 0 MESES ,"$3,000.00",NO,VENTA POR CATALOGO,10 AÑOS 0 MESES ,
300,1983-09-16,México,CHIMALHUACAN 2,Secundaria,Casada (o),1,Familiar,FEMENINO,20 AÑOS 0 MESES ,"$18,800.00",NO,EVENTOS/SALONES/SILLAS/MESAS,3 AÑOS 0 MESES ,
576,1974-02-18,México,CHIMALHUACAN 2,Primaria,Casada (o),1,Propia,FEMENINO,17 AÑOS 1 MESES ,"$9,000.00",NO,FABRICA/TALLER/ELABORACION/REPARACION,10 AÑOS 6 MESES ,
480,1978-01-05,Jalisco,TONALA,Tecnico,Casada (o),0,Familiar,FEMENINO,16 AÑOS 0 MESES ,"$20,000.00",NO,VENTA DE ROPA,6 AÑOS 0 MESES ,
797,1965-09-11,México,CHIMALHUACAN 2,Secundaria,Unión Libre,0,Propia,FEMENINO,25 AÑOS 0 MESES ,"$12,000.00",NO,FLORES/ARREGLOS,10 AÑOS 0 MESES ,
1185,1987-01-25,México,CHALCO,Bachillerato,Unión Libre,0,Propia,FEMENINO,25 AÑOS 8 MESES ,"$15,000.00",NO,VENTA DE ROPA,10 AÑOS 9 MESES ,
1921,1968-07-08,Veracruz de Ignacio de la Llave,ORIZABA,Bachillerato,Soltera (o),0,,FEMENINO,0 AÑOS 0 MESES ,$10.00,NO,DISTRIBUIDOR CON EXPERIENCIA,7 AÑOS 1 MESES ,
2174,1976-12-14,México,CHIMALHUACAN 2,Secundaria,Casada (o),2,Familiar,FEMENINO,25 AÑOS 1 MESES ,$37.00,NO,VENTA POR CATALOGO,7 AÑOS 7 MESES ,
2318,1969-07-04,Veracruz de Ignacio de la Llave,ORIZABA,Secundaria,Casada (o),0,Propia,FEMENINO,9 AÑOS 10 MESES ,"$11,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 6 MESES ,
2564,1964-02-06,México,NEZAHUALCOYOTL 2,Bachillerato,Casada (o),0,Propia,FEMENINO,2 AÑOS 0 MESES ,"$36,000.00",NO,VENTA DE ALIMENTOS,4 AÑOS 8 MESES ,
2420,1985-12-20,Jalisco,TONALA,Bachillerato,Casada (o),7,Rentada,FEMENINO,2 AÑOS 2 MESES ,"$12,000.00",SI,FLORES/ARREGLOS,8 AÑOS 8 MESES ,
2594,1986-09-03,México,CHIMALHUACAN 2,Licenciatura,Soltera (o),0,Propia,FEMENINO,22 AÑOS 9 MESES ,$38.00,NO,AMEDICINA/SALUD/FARMACIA,0 AÑOS 4 MESES ,
2737,1985-01-08,México,CHIMALHUACAN 2,Bachillerato,Soltera (o),0,Familiar,MASCULINO,30 AÑOS 2 MESES ,$52.00,SI,FABRICA/TALLER/ELABORACION/REPARACION,8 AÑOS 7 MESES ,
2722,1978-08-04,México,NEZAHUALCOYOTL 2,Tecnico,Casada (o),2,Familiar,FEMENINO,1 AÑOS 6 MESES ,$10.00,NO,BELLEZA/SALON/ESTETICA/BARBERIA,3 AÑOS 1 MESES ,
2759,1972-12-04,México,CHIMALHUACAN 2,Primaria,Unión Libre,0,Propia,FEMENINO,10 AÑOS 3 MESES ,$50.00,SI,VENTA POR CATALOGO,2 AÑOS 2 MESES ,
2945,1963-03-27,México,CHIMALHUACAN 2,Secundaria,Unión Libre,0,Propia,FEMENINO,10 AÑOS 5 MESES ,$72.00,SI,VENTA POR CATALOGO,10 AÑOS 12 MESES ,
3086,1967-01-19,Tabasco,VILLAHERMOSA,Secundaria,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 6 MESES ,
2712,1969-11-05,Jalisco,TONALA,Bachillerato,Casada (o),0,Propia,FEMENINO,27 AÑOS 8 MESES ,"$17,200.00",NO,ABARROTES/MISCELANEAS/PERECEDEROS,1 AÑOS 2 MESES ,
3444,1968-03-26,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),1,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,AGUA/POTABLE/RESIDUAL,3 AÑOS 3 MESES ,
2036,1968-12-22,Jalisco,TONALA,Bachillerato,Casada (o),0,Propia,FEMENINO,30 AÑOS 2 MESES ,"$25,000.00",NO,VENTA DE ALIMENTOS,10 AÑOS 12 MESES ,
3481,1957-11-15,México,CHIMALHUACAN 2,Secundaria,Casada (o),0,Propia,FEMENINO,29 AÑOS 6 MESES ,"$28,000.00",SI,VENTA DE ALIMENTOS,10 AÑOS 12 MESES ,
3185,1970-07-01,Tabasco,VILLAHERMOSA,Primaria,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,DISTRIBUIDOR CON EXPERIENCIA,0 AÑOS 3 MESES ,
3690,1984-01-22,Veracruz de Ignacio de la Llave,ORIZABA,Bachillerato,Unión Libre,10,Familiar,MASCULINO,34 AÑOS 0 MESES ,"$16,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,1 AÑOS 0 MESES ,
3991,1988-02-27,México,NEZAHUALCOYOTL 2,Sin Estudios,Casada (o),7,,FEMENINO,0 AÑOS 0 MESES ,"$8,800.00",NO,VENTA DE ALIMENTOS,10 AÑOS 6 MESES ,
4054,1976-10-16,Tabasco,VILLAHERMOSA,Bachillerato,Casada (o),0,,FEMENINO,0 AÑOS 0 MESES ,$0.00,NO,ABARROTES/MISCELANEAS/PERECEDEROS,0 AÑOS 8 MESES ,
4135,1988-07-03,México,CHIMALHUACAN 2,Secundaria,Casada (o),9,Propia,MASCULINO,28 AÑOS 12 MESES ,$60.00,SI,JARCIERIA,2 AÑOS 12 MESES ,
4064,1977-05-15,Veracruz de Ignacio de la Llave,ORIZABA,Licenciatura,Casada (o),7,Familiar,MASCULINO,17 AÑOS 0 MESES ,"$10,000.00",SI,DISTRIBUIDOR CON EXPERIENCIA,2 AÑOS 0 MESES ,
