inferior,superior,1,2,3,4,5,6,7,8,9,10
0,1.0,2,4,5,4,16,10,8,11,11,11
1,2.0,0,0,0,0,0,0,0,0,0,0
2,3.0,0,0,0,0,0,0,0,0,0,0
3,4.0,0,1,0,0,0,0,0,0,0,0
4,5.0,0,0,0,0,0,0,0,0,0,0
5,6.0,0,0,0,0,0,0,0,0,0,0
6,7.0,0,0,0,0,0,0,0,0,0,0
7,8.0,0,0,0,0,0,0,0,0,0,0
8,9.0,0,0,0,1,1,2,2,1,0,0
9,10.0,0,0,0,0,0,0,0,0,0,0
10,15.0,0,0,0,0,1,0,1,0,0,0
15,20.0,1,0,0,0,0,1,0,0,0,0
20,25.0,0,0,0,0,0,0,0,1,4,8
25,30.0,0,0,0,0,1,1,3,3,1,2
30,35.0,0,0,1,0,0,0,0,0,0,0
35,40.0,0,0,0,0,0,0,0,3,0,1
40,45.0,0,0,0,0,0,0,0,0,0,0
45,50.0,0,0,0,0,0,0,0,0,0,0
50,inf,0,0,0,0,0,2,3,1,5,10
