inferior,superior,1,2,3,4,5,6,7,8,9,10
0,1.0,4,12,18,4,19,14,18,16,17,14
1,2.0,0,0,0,0,0,0,0,0,0,0
2,3.0,0,0,0,0,0,0,0,0,0,0
3,4.0,0,0,0,0,0,0,1,0,0,0
4,5.0,0,0,0,0,0,0,0,0,0,0
5,6.0,0,0,0,0,0,0,0,0,0,0
6,7.0,0,0,0,0,0,0,0,1,3,1
7,8.0,0,0,0,0,0,0,0,0,0,0
8,9.0,0,1,1,1,0,2,2,0,0,0
9,10.0,0,0,0,0,0,0,1,0,0,0
10,15.0,0,1,1,1,2,1,0,0,0,1
15,20.0,3,0,0,0,0,0,1,3,1,1
20,25.0,2,0,0,0,2,2,2,7,7,7
25,30.0,2,1,1,2,1,2,2,2,3,4
30,35.0,0,0,0,0,2,1,0,2,1,0
35,40.0,0,1,2,0,1,0,0,1,1,4
40,45.0,0,2,2,0,1,2,1,0,0,1
45,50.0,0,0,2,1,2,0,0,0,0,0
50,inf,3,1,2,5,0,6,3,8,8,6
